Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
5710678259,5710678258,0.012678911099656121,service,False
8258884412,8258884413,0.02236981394137257,service,False
8258884412,8258914988,0.02818941498343209,service,False
8259084616,2276766202,0.01996015245857192,service,False
8259084616,8259084615,0.008398002780152755,service,False
8179214837,98022531,0.06140939156835854,residential,False
8179214837,98014779,0.007691766041133141,residential,False
13023575621,13023575633,0.004996625742597797,service,False
13023575621,12905137759,0.00531863446843443,service,False
7135368394,5721741444,0.015929055441910422,service,False
7135368394,5721741445,0.01069377105878358,service,False
7135368394,7135368395,0.024727761767225038,service,False
12005960369,12005952468,0.00595339220599632,residential,False
12005960369,12005960370,0.018371262191225483,residential,False
10292427285,10292427284,0.0070652507921832265,residential,False
10292427285,5716530346,0.011394516696220124,residential,False
8040029480,5716457434,0.0064911055865876895,service,False
8040029480,12178416257,0.0051538172871887725,service,False
9507368894,9507368893,0.014603236620239227,service,False
9507368894,9507368895,0.012301364098860772,service,False
8184202734,103001094,0.043828526210310505,tertiary,False
8184202734,8184177203,0.004781295198272042,tertiary,False
442601283,10139319542,0.012522200149371086,secondary,False
442601283,445371170,0.0726024475796617,secondary,False
103001089,6662390835,0.01975006298456841,residential,False
103001089,6662390837,0.00901730584692374,tertiary,False
8167688816,6617787569,0.0051938964021037,service,False
8167688816,6617787568,0.04733118287556438,service,False
12155128608,12155128606,0.02711654857507159,residential,False
12155128608,1905193302,0.04179716098983234,residential,False
12293322785,7135368499,0.0182612864849739,service,False
12293322785,4024940597,0.017098758143506917,service,False
13008558097,13008558096,0.04168154350313031,service,False
13008558097,13008558098,0.004484318663254901,service,False
12145862683,12145862684,0.006147566159819958,service,False
12145862683,12145862682,0.0072624138220442214,service,False
98022240,98022239,0.02571681045094626,tertiary,False
98022240,98022242,0.026846550959413674,tertiary,False
11217329021,11217329020,0.02767571968684573,service,False
8831040951,12145662320,0.0250293368285149,service,False
7135368406,7135368405,0.038448198096324826,service,False
8344828728,8344828729,0.002904108141552284,service,False
8344828728,8344828727,0.013932155523747075,service,False
8259084640,8259084639,0.009194328870990103,service,False
11181560968,11182952752,0.005582767088387967,service,False
11181560968,11183804937,0.0019572784686121623,service,False
5716281514,5716281513,0.02092390066927741,service,False
5716281514,5716281517,0.05579809820406049,service,False
5716281514,5716281516,0.02524666592831849,service,False
10142034359,8259070074,0.003125310180258202,tertiary,False
10142034359,2276412701,0.01117667453082437,tertiary,False
5707060246,12699181577,0.058418399481206966,service,False
5707060246,12699203129,0.0036895772293364195,service,False
6662355785,98010926,0.01906718500094332,secondary,False
