Node_ID,Lat,Lon
0,21.0083109,105.8513966
1,21.0095131,105.8533715
2,21.0131237,105.855948
3,21.0089676,105.8612598
4,21.016784,105.8395195
5,21.0102784,105.8581692
6,21.017514,105.838713
7,21.0176475,105.8417499
8,21.0175186,105.8619981
9,21.0130066,105.8580307
10,21.0187112,105.8541878
11,21.0082277,105.8567879
12,21.0116912,105.8472856
13,21.0126821,105.8622247
14,21.0068977,105.8640954
15,21.0168752,105.8641463
16,21.0149186,105.8647131
17,21.0120558,105.8587829
18,21.0053957,105.8602801
19,21.0086938,105.8624727
20,21.0087416,105.8519667
21,21.0087764,105.8516021
22,21.0055789,105.8537086
23,21.0050655,105.8530518
24,21.0066603,105.8462013
25,21.018227,105.8395325
26,21.0052374,105.8417168
27,21.0172338,105.8438567
28,21.0214589,105.8559025
29,21.0111342,105.8485155
30,21.0065421,105.8512493
31,21.0083507,105.8550299
32,21.014166,105.8516544
33,21.0187844,105.8631134
34,21.0145033,105.8393019
35,21.0064486,105.8526593
36,21.0182941,105.8611984
37,21.0056323,105.8493045
38,21.0206338,105.8531153
39,21.0205826,105.8573257
40,21.0035955,105.8509676
41,21.0097957,105.8605807
42,21.0131117,105.85901
43,21.012806,105.8533949
44,21.0104361,105.8552979
45,21.0135555,105.8523774
46,21.0130617,105.8573491
47,21.0188121,105.8411675
48,21.0111351,105.8396748
49,21.0095814,105.8637711
50,21.0071522,105.8449689
51,21.0177243,105.863521
52,21.0054496,105.8530918
53,21.0203807,105.8616231
54,21.0182139,105.8415804
55,21.0106392,105.848476
56,21.0068029,105.8506939
57,21.0055823,105.8456508
58,21.0097236,105.8648072
59,21.0107464,105.8655577
60,21.004801,105.8663164
61,21.0099735,105.855332
62,21.0082471,105.8634626
63,21.0256408,105.8617823
64,21.0089794,105.8613765
65,21.0124843,105.8532064
66,21.0048566,105.8574192
67,21.0153899,105.8531233
68,21.0042947,105.8482186
69,21.0197184,105.8616915
70,21.0067671,105.8428015
71,21.0142058,105.8566623
72,21.0169505,105.8620889
73,21.0052344,105.8619239
74,21.0160698,105.8419794
75,21.0054987,105.8472194
76,21.0063635,105.850885
77,21.0060218,105.8427897
78,21.0169035,105.8582714
79,21.0066756,105.8628508
80,21.0107525,105.854639
81,21.0088011,105.8609278
82,21.0075316,105.8603096
83,21.0140342,105.8657592
84,21.0136322,105.8547974
85,21.0081296,105.8521772
86,21.0057543,105.8519777
87,21.015594,105.8419579
88,21.0113362,105.8459798
89,21.0112576,105.8581612
90,21.008447,105.8532751
91,21.023226,105.8508198
92,21.0086159,105.8460315
93,21.0199235,105.8555519
94,21.0065556,105.8562273
95,21.0141592,105.8394372
96,21.0136823,105.8392696
97,21.0045952,105.8492932
98,21.0072665,105.8654257
99,21.0087198,105.8657444
100,21.0069904,105.8654284
101,21.0133541,105.8576728
102,21.017107,105.8638337
103,21.0123316,105.8616668
104,21.0135672,105.8637321
105,21.0047816,105.852435
106,21.0118425,105.8498272
107,21.0053114,105.8483857
108,21.0054527,105.8535969
109,21.0079006,105.8532799
110,21.0223166,105.8458767
111,21.008591,105.8506266
112,21.0078682,105.8410951
113,21.0115767,105.8631222
114,21.0073086,105.8426518
115,21.0037597,105.8430558
116,21.0134908,105.8644563
117,21.013419,105.8389477
118,21.0129776,105.8488056
119,21.0120311,105.8392017
120,21.0146877,105.8516664
121,21.009063,105.8562536
122,21.0084165,105.8547432
123,21.0105918,105.8617927
124,21.0133726,105.8657599
125,21.0110086,105.858648
126,21.0071589,105.8628964
127,21.0055892,105.8648715
128,21.0107057,105.8493775
129,21.0128575,105.8488619
130,21.003955,105.8560455
131,21.0181609,105.8573693
132,21.0084064,105.8487679
133,21.0089917,105.860094
134,21.0197753,105.8399584
135,21.0085341,105.8657333
136,21.0044449,105.8562891
137,21.0068918,105.8546504
138,21.0129026,105.8556345
139,21.0044765,105.8650988
140,21.0140686,105.8566578
141,21.0057173,105.8434555
142,21.0078442,105.8634311
143,21.0129175,105.8486768
144,21.007186,105.8657259
145,21.0158447,105.8628986
146,21.0179828,105.8573229
147,21.0070246,105.8419381
148,21.010104,105.8539294
149,21.0110931,105.8560391
150,21.0137675,105.8571553
151,21.0132803,105.8465441
152,21.0110201,105.8391899
153,21.0053001,105.8620245
154,21.0062775,105.8640578
155,21.0088241,105.8506069
156,21.0214538,105.847085
157,21.0055866,105.8493709
158,21.0175294,105.8436731
159,21.0157233,105.8609009
160,21.0079147,105.8460893
161,21.0038863,105.8468679
162,21.007132,105.8617726
163,21.0063509,105.8506161
164,21.0134157,105.8639225
165,21.0195051,105.8616008
166,21.0228611,105.8597678
167,21.0060479,105.8561841
168,21.0078742,105.8569095
169,21.0058937,105.8650236
170,21.0083256,105.8489679
171,21.0064417,105.8489893
172,21.004635,105.8510758
173,21.0164388,105.8561648
174,21.008927,105.8609615
175,21.0125237,105.8548393
176,21.0189252,105.8399337
177,21.0090462,105.8573744
178,21.0075477,105.8608076
179,21.0071986,105.8603418
180,21.0041772,105.8458046
181,21.0051537,105.8637252
182,21.0127767,105.8591943
183,21.022679,105.8446361
184,21.0206551,105.8414183
185,21.0156892,105.8574021
186,21.0119862,105.8604289
187,21.0177136,105.8604505
188,21.0067242,105.8417935
189,21.0172586,105.8404026
190,21.0086695,105.8518988
191,21.0102371,105.8612846
192,21.0055727,105.8497981
193,21.0238632,105.8571984
194,21.0127747,105.866044
195,21.0111259,105.8384937
196,21.0082729,105.8460538
197,21.0101393,105.8456135
198,21.0111861,105.8458795
199,21.0089097,105.8506706
200,21.0120481,105.8475933
201,21.0154728,105.8613843
202,21.014868,105.8621469
203,21.0110243,105.8619707
204,21.0065247,105.8542157
205,21.0224502,105.8465419
206,21.0172368,105.8598324
207,21.0174101,105.8634799
208,21.0130647,105.8590359
209,21.013263,105.8599891
210,21.012415,105.8473188
211,21.0054979,105.859636
212,21.0087886,105.8609001
213,21.0139696,105.8534639
214,21.0133907,105.8562957
215,21.0135864,105.864618
216,21.0111082,105.8484944
217,21.0190984,105.8638124
218,21.0151701,105.8389435
219,21.0174394,105.8416625
220,21.0055334,105.8551817
221,21.003914,105.8526546
222,21.0119521,105.8600928
223,21.0125118,105.8579446
224,21.0226074,105.848804
225,21.0070223,105.8507879
226,21.0161424,105.8641625
227,21.0108726,105.8391376
228,21.0041614,105.8527145
229,21.0056643,105.8497967
230,21.0160171,105.8432599
231,21.0149726,105.8392686
232,21.0055917,105.8498
233,21.0071243,105.8454441
234,21.0156591,105.8648338
235,21.0221811,105.8523429
236,21.0079601,105.8414527
237,21.004206,105.8457779
238,21.0175993,105.8416694
239,21.0109601,105.8561929
240,21.0054248,105.8655356
241,21.0075733,105.8635837
242,21.0096007,105.8405188
243,21.004915,105.8556855
244,21.0148415,105.8629557
245,21.0157668,105.8550029
246,21.0034643,105.8477737
247,21.0051424,105.8456507
248,21.0048835,105.8454422
249,21.0146745,105.8629291
250,21.0136377,105.8576151
251,21.0111945,105.8485607
252,21.0107716,105.8535022
